B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
B0,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,B0,,,,,,,,,B0
B0,,B0,B0,B0,,,,,,B0,,,,,,,,,B0
B0,,,,B0,,,,,,B0,,,,,E2,,,,B0
B0,,,,B0,,,,,,B0,,,,,,,,,B0
B0,,,,B0,,,,,,B0,B0,B0,,,,,,,B0
B0,,,,B0,,,B0,,,,,,,,,,,,B0
B0,,,,,,,B0,,,,,,,,B0,B0,B0,,B0
B0,,,,,,,B0,,,B0,B0,B0,,,,,,,B0
B0,,,,,P0,,B0,,,,,B0,,,,,,,B0
B0,,,,,,,B0,B0,B0,,,B0,,,,,,,B0
B0,,,,,,,,,,,,B0,,,,,,,B0
B0,,,,,,,,,,,,B0,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
